epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8844,2.04484,4.16514,1.68155,0.01447,0.3747,0.04927,0.02356,1.86706,4.04235,1.51452,0.000222133,0.000222133,0.000222133
2,18.7921,1.92889,4.03996,1.50713,0.01503,0.38095,0.22437,0.16523,1.68172,3.78682,1.36419,0.000494852,0.000494852,0.000494852
3,19.7292,1.4308,3.4366,1.23096,0.59776,0.25,0.31933,0.24363,1.27228,3.7662,1.17119,0.000762073,0.000762073,0.000762073
4,20.6999,1.42027,3.06744,1.18552,0.89975,0.25,0.33,0.22558,1.39653,3.62923,1.18909,0.00080826,0.00080826,0.00080826
5,21.6436,1.2736,2.51702,1.15511,0.99516,0.26674,0.49199,0.36439,1.27,3.25559,1.17449,0.000800013,0.000800013,0.000800013
6,22.5879,1.36198,2.00492,1.15387,0.99712,0.29918,0.49288,0.3626,1.24468,3.23641,1.14997,0.000791767,0.000791767,0.000791767
7,23.53,1.2564,1.85411,1.12338,0.97955,0.375,0.46649,0.35399,1.25402,3.14558,1.19841,0.00078352,0.00078352,0.00078352
8,24.4639,1.17251,1.57767,1.09101,0.98613,0.375,0.42105,0.31781,1.19865,2.97595,1.12041,0.000775273,0.000775273,0.000775273
9,25.402,1.19273,1.39733,1.13452,0.98125,0.3421,0.50483,0.37195,1.20376,2.83646,1.11448,0.000767026,0.000767026,0.000767026
10,26.3535,1.16559,1.23023,1.10648,0.98548,0.35348,0.50808,0.38952,1.19866,2.86874,1.12345,0.00075878,0.00075878,0.00075878
11,27.3167,1.13035,1.16935,1.05479,0.97981,0.36228,0.52197,0.37684,1.22393,2.83278,1.13464,0.000750533,0.000750533,0.000750533
12,28.2746,1.13633,1.09924,1.07546,0.98854,0.30338,0.56907,0.40547,1.21173,2.68176,1.1311,0.000742286,0.000742286,0.000742286
13,29.232,1.10285,1.0746,1.05458,0.98469,0.38651,0.73222,0.5178,1.15246,2.43787,1.09874,0.00073404,0.00073404,0.00073404
14,30.2171,1.0463,0.98519,1.05482,0.97967,0.45859,0.7423,0.54571,1.12694,2.35599,1.09998,0.000725793,0.000725793,0.000725793
15,31.1951,1.0741,0.97997,1.05436,0.97802,0.48035,0.7439,0.54879,1.0894,2.22365,1.09035,0.000717546,0.000717546,0.000717546
16,32.1608,1.06375,0.93639,1.04986,0.97754,0.46972,0.71793,0.52449,1.12119,2.17959,1.09546,0.000709299,0.000709299,0.000709299
17,33.0918,1.04298,0.93148,1.04873,0.97722,0.47241,0.73509,0.52377,1.13401,2.25092,1.11575,0.000701053,0.000701053,0.000701053
18,34.0108,1.03042,0.88505,1.04774,0.96279,0.5,0.81372,0.57356,1.14945,2.14793,1.13311,0.000692806,0.000692806,0.000692806
19,34.9457,1.07236,0.87256,1.06569,0.94681,0.5,0.85309,0.5862,1.17767,2.05224,1.11541,0.000684559,0.000684559,0.000684559
20,35.8862,1.05429,0.8481,1.0186,0.93418,0.51018,0.87252,0.60649,1.13796,1.88537,1.0845,0.000676313,0.000676313,0.000676313
21,36.8293,1.05699,0.84408,1.02545,0.93052,0.51009,0.87958,0.62839,1.03799,1.68299,1.05482,0.000668066,0.000668066,0.000668066
22,37.7497,1.01089,0.80084,1.01942,0.91205,0.55823,0.90242,0.63817,1.05519,1.59053,1.06761,0.000659819,0.000659819,0.000659819
23,38.6935,1.04134,0.79313,1.04668,0.92876,0.68757,0.94104,0.65006,1.07464,1.45874,1.06643,0.000651573,0.000651573,0.000651573
24,39.6169,1.05301,0.7858,1.02276,0.93916,0.7747,0.96141,0.67072,1.05431,1.37781,1.05664,0.000643326,0.000643326,0.000643326
25,40.5675,1.02484,0.80563,1.02244,0.94685,0.85685,0.96491,0.67011,1.00494,1.27779,1.03449,0.000635079,0.000635079,0.000635079
26,41.4788,1.01583,0.76875,1.03022,0.91437,0.89678,0.96606,0.66755,1.01265,1.22231,1.02892,0.000626832,0.000626832,0.000626832
27,42.4034,1.0204,0.77654,1.02609,0.90897,0.94641,0.96611,0.66633,1.02068,1.16652,1.03485,0.000618586,0.000618586,0.000618586
28,43.322,0.99785,0.75291,1.00846,0.92352,0.95578,0.96384,0.6698,1.0371,1.13777,1.05395,0.000610339,0.000610339,0.000610339
29,44.2471,1.0256,0.74523,1.0439,0.92988,0.92149,0.96012,0.66556,1.03304,1.10751,1.05797,0.000602092,0.000602092,0.000602092
30,45.1623,1.00827,0.75564,1.02953,0.92826,0.92541,0.95685,0.67004,1.01807,1.10318,1.04922,0.000593846,0.000593846,0.000593846
31,46.0693,0.99227,0.7323,1.01981,0.92511,0.92243,0.9596,0.67265,1.0092,1.08378,1.02969,0.000585599,0.000585599,0.000585599
32,46.9959,1.00901,0.74072,1.00416,0.92045,0.92036,0.95401,0.67056,1.02899,1.053,1.03302,0.000577352,0.000577352,0.000577352
33,47.9242,0.98992,0.72156,1.01065,0.92187,0.93661,0.96305,0.67337,1.0141,0.92326,1.0443,0.000569106,0.000569106,0.000569106
34,48.8762,0.9914,0.71707,1.01508,0.92252,0.98302,0.96217,0.67865,0.99321,0.87208,1.03378,0.000560859,0.000560859,0.000560859
35,49.8027,0.9973,0.69531,1.00549,0.92707,0.9871,0.9642,0.6885,0.97232,0.89025,1.0145,0.000552612,0.000552612,0.000552612
36,50.7264,1.00629,0.70943,1.01726,0.9288,0.98542,0.96355,0.68272,0.98795,0.90676,1.02049,0.000544365,0.000544365,0.000544365
37,51.6589,0.99785,0.71501,0.99396,0.93041,0.987,0.95921,0.67371,1.02015,0.86754,1.03191,0.000536119,0.000536119,0.000536119
38,52.5744,0.98652,0.69335,0.98701,0.92273,0.9871,0.95516,0.67512,1.00478,0.81134,1.03695,0.000527872,0.000527872,0.000527872
39,53.4883,0.96735,0.70898,1.00035,0.91936,0.9871,0.95648,0.68102,0.99371,0.79728,1.03772,0.000519625,0.000519625,0.000519625
40,54.4009,0.93895,0.70776,1.02295,0.92476,0.9871,0.95745,0.68324,0.98744,0.8021,1.03026,0.000511379,0.000511379,0.000511379
41,55.3402,0.98371,0.68433,1.02176,0.92541,0.9871,0.95796,0.68347,0.97809,0.80639,1.02556,0.000503132,0.000503132,0.000503132
42,56.2771,0.98114,0.69161,1.00701,0.92408,0.9871,0.95752,0.6941,0.96142,0.78588,1.0241,0.000494885,0.000494885,0.000494885
43,57.2196,0.97345,0.6928,0.99975,0.92777,0.9871,0.9601,0.6923,0.96056,0.74639,1.03247,0.000486639,0.000486639,0.000486639
44,58.1394,0.97301,0.67796,1.01243,0.9246,0.9871,0.96118,0.68949,0.95944,0.7613,1.02764,0.000478392,0.000478392,0.000478392
45,59.0673,0.97358,0.68725,1.0079,0.92992,0.9861,0.96296,0.66611,1.04951,0.83095,1.06246,0.000470145,0.000470145,0.000470145
46,60.0051,0.9675,0.67503,0.99532,0.93454,0.9871,0.96332,0.66163,1.06064,0.81047,1.06854,0.000461898,0.000461898,0.000461898
47,60.9279,0.97608,0.66995,0.99771,0.93959,0.9871,0.96449,0.68745,1.00689,0.77593,1.03697,0.000453652,0.000453652,0.000453652
48,62.2402,0.97944,0.673,1.02468,0.94216,0.98468,0.96496,0.68935,0.98539,0.74238,1.03331,0.000445405,0.000445405,0.000445405
49,63.4114,0.97689,0.67459,1.02942,0.93326,0.9871,0.95979,0.68919,0.99005,0.7317,1.03477,0.000437158,0.000437158,0.000437158
50,64.511,0.95466,0.64838,1.0095,0.93606,0.9871,0.96094,0.68681,1.00483,0.74233,1.03359,0.000428912,0.000428912,0.000428912
51,65.5393,0.99117,0.66267,0.99552,0.9345,0.9871,0.96308,0.67536,1.02572,0.75682,1.05242,0.000420665,0.000420665,0.000420665
52,66.5628,0.96856,0.66618,0.99819,0.93718,0.9871,0.96216,0.67634,1.02151,0.75803,1.05521,0.000412418,0.000412418,0.000412418
53,67.6455,0.96688,0.66331,1.00524,0.9429,0.9871,0.96319,0.69473,0.98378,0.73581,1.03957,0.000404172,0.000404172,0.000404172
54,68.6735,0.9456,0.64695,0.99958,0.94565,0.98672,0.96314,0.69209,0.9864,0.73063,1.04567,0.000395925,0.000395925,0.000395925
55,69.6959,0.96345,0.64744,0.98711,0.94323,0.9831,0.96309,0.68861,0.99286,0.72032,1.04416,0.000387678,0.000387678,0.000387678
56,70.6951,0.97213,0.64577,1.00162,0.93986,0.98277,0.96316,0.69275,0.9947,0.70698,1.04099,0.000379431,0.000379431,0.000379431
57,71.7374,0.93357,0.63036,0.99327,0.9377,0.98523,0.9678,0.69216,0.99104,0.72201,1.04126,0.000371185,0.000371185,0.000371185
58,72.7546,0.93425,0.62412,0.9884,0.9397,0.9871,0.96838,0.69088,0.99515,0.72023,1.04138,0.000362938,0.000362938,0.000362938
59,73.7768,0.95417,0.635,0.98114,0.9399,0.9871,0.96765,0.68821,1.00277,0.70111,1.04264,0.000354691,0.000354691,0.000354691
60,74.8233,0.9435,0.62979,0.97246,0.94311,0.9871,0.96507,0.67895,1.02334,0.6879,1.05138,0.000346445,0.000346445,0.000346445
61,75.8676,0.94306,0.61831,0.98411,0.93977,0.9871,0.96059,0.66279,1.05804,0.70027,1.07903,0.000338198,0.000338198,0.000338198
62,76.9339,0.92841,0.60894,0.97722,0.93782,0.9871,0.96086,0.66504,1.04904,0.71051,1.08364,0.000329951,0.000329951,0.000329951
63,77.9529,0.93894,0.62329,0.99719,0.94382,0.9871,0.96191,0.67468,1.04019,0.70695,1.08521,0.000321705,0.000321705,0.000321705
64,79.0091,0.93497,0.61111,0.98631,0.94106,0.9871,0.95913,0.67976,1.03021,0.69957,1.07709,0.000313458,0.000313458,0.000313458
